Title,Authors,Year,Citation_Count,Venue,Link,Abstract,Relevance_Score,Relevance_Explanation,Key_Topics,Confidence
Adapting K-12 AI Learning for Online Instruction. 2nd International Workshop on Education in Artificial Intelligence K-12,S Ali; D DiPaola; I Lee; D Jackson,2021.0,0,"S Ali, D DiPaola, I Lee, D Jackson, J Kiel…",https://par.nsf.gov/biblio/10252921,"… literacy education across all grade bands, and argue for the creation of research programs across four areas of AI education: (1) K-12 AI Learning & Technology; (2) K-12 AI Education …",0.95,"The paper directly focuses on K-12 AI education, explicitly addressing both AI integration and educational methodologies within K-12 settings, making it highly aligned with the keyword.",K-12 AI learning; AI literacy education; online instruction adaptation; K-12 AI education research programs; technology integration in education,0.98
Evidence-based advancement of teaching AI in K-12: an action research approach,F Jetzinger,2024.0,0,F Jetzinger,https://dl.acm.org/doi/abs/10.1145/3677619.3677641,… approaches to teaching AI in schools [… AI as a learning subject in K-12 education [5]. This article presents a study that aims to address this gap in order to enhance the lessons about AI …,0.95,"The paper directly focuses on teaching AI as a subject within K-12 education, aligning perfectly with all three keywords through its explicit examination of AI integration in school curricula.",AI education in K-12; teaching methodologies for AI; curriculum development; action research in education; evidence-based instructional practices,0.98
Artificial Intelligence in Primary and Secondary Education: a Review of Educational Activities Development,S Combéfis,2023.0,1,S Combéfis,https://sebastien.combefis.be/files/publi/combefis-issep2023.pdf,"… their search engine: “artificial intelligence K-12”, “machine learning K-12”, “children teaching artificial intelligence”, “activity to learn artificial intelligence children.” Relevant references of …",0.95,"The paper directly focuses on AI applications in K-12 education through a review of educational activities, with explicit keyword alignment in both title and search terms.",artificial intelligence in K-12; machine learning education; educational activity development; AI teaching for children; primary and secondary AI integration,0.98
RAPID: DRL AI: Understanding Perceptions and Use of AI in K-12 Education Using a Nationally Representative Sample,C Odgers,2024.0,0,C Odgers,https://ui.adsabs.harvard.edu/abs/2024nsf....2334172O/abstract,"… AI-driven technologies in K-12 education. Specifically, it will identify risks of generative AI in educational … educational contexts. Findings will have theoretical and practical relevance for …",0.95,"The paper directly investigates AI perceptions and usage in K-12 education through a nationally representative study, aligning perfectly with all three keyword components.",AI in K-12 education; generative AI risks; educational technology perceptions; national survey methodology; AI integration practices,0.98
Building Global AI Literacy: Preparing Teachers for the Future of AI-Driven Classrooms,J Renzella; A Vassar,2025.0,0,"J Renzella, N Banks, A Vassar",https://dl.acm.org/doi/abs/10.1145/3641555.3705101,"… As artificial intelligence (AI) continues to transform industries and impact daily life, it's crucial for K-12 students to be AI literate. However, many teachers feel unprepared to teach AI-…",0.95,"The paper directly addresses AI literacy in K-12 education, focusing on teacher preparation for AI-driven classrooms, which aligns perfectly with all three keywords.",AI literacy; K-12 teacher preparation; AI-driven classrooms; educational technology integration; curriculum development for AI,0.98
"Exploring AI literacy in Swedish K-12 education: a study of preexisting beliefs, comprehension, and learning outcomes",J Velander; M Milrad; N Otero,2024.0,0,"J Velander, M Milrad, N Otero",https://www.taylorfrancis.com/chapters/edit/10.4324/9781003440192-12/exploring-ai-literacy-swedish-12-education-johanna-velander-marcelo-milrad-nuno-otero,"… to AI literacy in Swedish K12 education, this study offered insights into students’ (pre)conceptions of AI and further explored the relationships between different AI lit… reasoning about AI in …",0.95,"The paper directly focuses on AI literacy within K-12 education, explicitly addressing both AI and education in the Swedish K12 context, with clear thematic and methodological alignment.",AI literacy; K-12 education; student preconceptions; learning outcomes; reasoning about AI,0.98
AI-powered education: Revolutionizing teaching and learning through artificial intelligence in Jordan,Z Almahasees; A Al-Harahsheh,2024.0,4,"Z Almahasees, A Al-Harahsheh…",https://www.royallitegioba-advanced-humanities.com/code/uploads/09032025063213.pdf,… The research was conducted in a K12 school with an AI-powered personalized learning platform at every grade level. Data collection involved interviews with teachers and surveys of …,0.95,"The paper directly addresses K12 education through an AI-powered personalized learning platform, with explicit focus on teaching and learning applications in this context.",AI-powered personalized learning; K12 education implementation; teacher perspectives on AI; student learning outcomes; educational technology integration,0.98
What to Teach and How to Teach: Artificial Intelligence Education in Primary and Secondary Schools,,2025.0,1,X Xia,https://bonoi.org/index.php/sief/article/view/1575,"… Contextualizing AI education for K-12 students to enhance their learning of AI literacy through culturally responsive approaches. KI-Künstliche Intelligenz, 35(2), 153-161. DOI: https://doi.…",0.95,"The paper directly addresses AI education in K-12 settings, focusing on curriculum design and pedagogical approaches, which aligns perfectly with the keyword's focus on K12 education, AI, and education.",AI literacy; K-12 curriculum design; culturally responsive teaching; primary and secondary education; pedagogical strategies,0.98
Developing a Holistic AI Literacy Framework for Children,J Yu,2025.0,1,"K Jia, THM Leung, NYI Cheung, Y Li, J Yu",https://dl.acm.org/doi/abs/10.1145/3727986,… for educational practices for children’s AI learning in both formal and informal settings and examined the AI … Introducing the fundamentals of artificial intelligence to K-12 classrooms …,0.95,"The paper directly addresses AI education in K-12 settings through developing a literacy framework, explicitly aligning with all three keywords in both scope and application.",AI literacy framework; K-12 AI education; formal and informal learning settings; children's AI learning; educational practices for AI,0.98
Panel: K12 Educators Integrating AI to Enhance Education,A Ford; K Cornell,2024.0,0,"A Ford, A Canbaz, K Cornell, A Subasi",https://scholarsarchive.library.albany.edu/ntir/2024/day1/5/,… AI is having huge effects on education at all levels and K–12 educators have the … AI. This impact can be achieved through integrating AI with teaching strategies and through teaching AI …,0.95,"The paper directly addresses K-12 education and AI integration, focusing on educators' roles and teaching strategies, which aligns perfectly with the keyword's scope.",K-12 education; AI integration; teaching strategies; educator roles; AI impact on education,0.98
Literature Review on AI Education Programs and Guidelines from Leading Countries and International Organizations,G Alexandron,2024.0,0,"R Halstuch, G Alexandron, Y Shwartz",https://www.trump.org.il/wp-content/uploads/2024/10/Trump-literature-review-final-121024.pdf,"… This report provides a comprehensive overview of the current state of AI education in the K-12 field from multiple perspectives, including international organizations, country strategies, …",0.95,"The paper directly focuses on AI education in K-12 settings, aligning perfectly with all components of the keyword by examining international programs and guidelines specifically for this educational level.",K-12 AI education; international AI education strategies; AI curriculum guidelines; comparative analysis of AI education programs,0.98
